,bag_openbareruimte_id,totaal_bijplaatsingen,aantal_niet_aplus,aantal_grofvuil,stadsdeel,postcode,adres,geometrie_origineel,dumpplek,aantal_handhavingen,lon,lat
2752,363300000006033.0,877,706,344,Oost,1095ME,Mary van der Sluisstraat 498,POINT (126168.57503147284 487585.563997222),False,98,4.963810315397944,52.37538454335212
2850,363300011951260.0,875,580,341,Zuidoost,1102BL,Elizabeth Cady Stantonplein 1004,POINT (125366.02049430466 480992.26303494326),False,97,4.9526054811769695,52.31608518148592
2442,363300000005397.0,874,654,437,Zuidoost,1106PR,Nieuwersluishof 84,POINT (125737.46548094769 479403.4807446983),False,65,4.958190641038615,52.30182593157562
1236,363300000003694.0,874,716,445,Noord,1031AE,Gentiaanstraat 1,POINT (122646.7439589611 489332.5534511647),False,63,4.911925031974321,52.390889041049604
1836,363300000004563.0,873,704,204,Oost,1093TA,Roomtuintjes 162,POINT (123858.2957367464 486379.00368523726),False,56,4.929996271669646,52.36441462119319
701,363300000002860.0,872,657,373,West,1052GB,Fagelstraat 8,POINT (120367.84650712792 488208.312880278),False,38,4.8785644664848835,52.38064614375728
1586,363300000004188.0,871,514,308,Oost,1098BG,Linnaeuskade 30,POINT (123996.67383208213 485478.2751619058),False,63,4.9321108431938585,52.35632728249338
1466,363300000004010.0,870,508,260,Zuidoost,1104EA,Kleiburg 12A,POINT (127122.56891434063 481368.94003872725),False,89,4.97833443104885,52.31956238138901
945,363300000003242.0,870,679,375,Noord,1024GA,Den Helderstraat 38,POINT (125887.24321842777 489794.76265227894),False,55,4.959487551724958,52.395224510884574
2605,363300000005674.0,865,471,209,Zuidoost,1102VS,Andersensingel 154,POINT (124788.20385276248 481629.8675141244),False,41,4.944074571269906,52.321784181467464
1427,363300000003953.0,864,682,303,West,1054XW,Pieter Langendijkstraat 13,POINT (119138.6470896781 486088.0678954989),False,74,4.860738232057858,52.361512041406854
1926,363300000004683.0,863,565,109,Centrumlocaties,Nederland,Nieuwe Uilenburgerstraat 2,POINT (122308.37621040802 487149.15352987545),True,120,4.907166931855844,52.37124614120671
1097,363300000003473.0,862,662,359,West,1055JZ,Jephtastraat 64,POINT (118148.99462248542 488308.0269750509),False,47,4.845966766879319,52.38139784392872
2651,363300000005750.0,861,674,508,Zuidoost,1107PD,Tolkamerstraat 2A,POINT (126352.98218582125 478321.2893484285),False,74,4.967306270912856,52.29213212162205
421,363300000002453.0,859,497,188,Zuidoost,1103SK,Glitterstraat 1,POINT (127160.99014527616 481697.2486873077),False,11,4.978870811067468,52.32251499136572
2388,363300000005319.0,858,672,226,West,1054GG,Vondelstraat 66,POINT (120194.77136110069 486129.9455922863),False,36,4.876237831969679,52.36195634136067
1400,363300000003910.0,857,635,136,Centrum,Nederland,Nieuwe Keizersgracht 1,POINT (122056.81268107431 486457.41523016884),True,166,4.903540931830937,52.36501424126246
1297,363300000003779.0,856,586,170,Centrumlocaties,Nederland,Haarlemmer Houttuinen 491,POINT (120850.87978086396 488620.9456256516),False,71,4.88561653208114,52.384384841170636
1080,363300000003443.0,856,693,504,Nieuw-West,1069SZ,Jan Smitstraat 140,POINT (115036.07152083871 484957.7902499544),False,60,4.800647132334209,52.35107084164898
1272,363300000003746.0,855,695,479,Nieuw-West,1069VA,Griendstraat 20,POINT (113648.1261830441 485637.7141349281),False,33,4.780193532498319,52.357078741661596
2779,363300001988921.0,855,574,252,Noord,1022KE,B. Merkelbachsingel 263,POINT (123988.58908528302 490911.9118196681),False,42,4.931490631965598,52.40516064089031
1868,363300000004606.0,855,524,277,Centrum,Nederland,Pentagon 73,POINT (121834.2931378897 486961.61411424086),True,82,4.900224331884169,52.36953224123858
2464,363300000005427.0,854,657,370,Zuidoost,1106CG,Poederooienstraat 101,POINT (127238.86330011954 479082.3621180225),False,76,4.980228274065469,52.29901766430587
547,363300000002624.0,853,677,303,Zuid,1059AZ,Rijnsburgstraat 96,POINT (118194.57230678157 484459.6164681032),False,33,4.84705739202986,52.34681426155207
866,363300000003113.0,852,582,227,Nieuw-West,1069EB,Evertsweertstraat 36,POINT (114610.8236803019 485594.8730519807),False,11,4.794329532413216,52.35676534162494
2614,363300000005683.0,849,548,320,Zuidoost,1102ZN,Dantestraat 34,POINT (125120.48100352747 482148.66722549166),False,32,4.948902084437772,52.32646501315894
2159,363300000005004.0,848,296,119,Centrum,Nederland,Handboogstraat 2,POINT (121136.32830404941 486865.14386729704),True,45,4.8899860319379505,52.36862264127373
72,363300000001106.0,848,597,213,Zuidoost,1103MR,Elisabeth Samsonstraat 19,POINT (126436.94757873323 481669.87599111116),False,27,4.9682533845520345,52.32223185405388
2089,363300000004898.0,845,752,359,Nieuw-West,1063KH,Sape Kuiperplantsoen 23,POINT (116674.22482878921 488225.4420511923),False,23,4.824316952413352,52.380554661369004
2615,363300000005684.0,843,549,367,Zuidoost,1102ZV,Dickenslaan 70,POINT (124837.50586572595 481979.8880938452),False,32,4.944766354871944,52.324932674147206
690,363300000002845.0,836,596,231,West,1056BC,Erasmusgracht 25,POINT (118171.13186345439 487604.2071932924),False,26,4.84636903224309,52.37507394134772
1520,363300000004087.0,834,693,291,Centrum,1013GS,Korte Prinsengracht 32,POINT (121074.46589632056 488273.88094221544),False,128,4.888935532038389,52.38127954118408
1019,363300000003359.0,833,637,278,Noord,1032JK,Heggerankweg 88,POINT (122722.66191303672 489923.81617315667),False,26,4.912983412007882,52.39620735100774
1052,363300000003403.0,832,620,232,West,1061CJ,Jacob van Arteveldestraat 39,POINT (117868.64711809726 487888.8361443318),False,30,4.841895756870628,52.37761159400254
2496,363300000005477.0,832,646,435,Zuidoost,1106DK,Voorthuizenstraat 108,POINT (127506.93911716384 478967.5717808819),False,72,4.984167500854912,52.29799944153212
2197,363300000005051.0,831,664,339,Zuid,1059XT,Stolwijkstraat 35,POINT (118303.53020776362 484867.0137905851),False,88,4.8486119359827,52.350482943363076
1235,363300000003693.0,829,718,547,Noord,1031AT,Gentiaanplein 8H,POINT (122740.47447446865 489250.9531565052),False,79,4.9133097562177745,52.39016119343397
665,363300000002810.0,828,623,363,Noord,1024GH,Eierlandstraat 122,POINT (125980.98425897969 489716.44686349697),False,51,4.960871502588199,52.3945256265467
2564,363300000005595.0,826,672,407,Zuidoost,1102AA,Daalwijk 108,POINT (125254.86860803227 481528.8413140326),False,103,4.950928071222509,52.320901651455024
2629,363300000005715.0,825,470,217,Zuidoost,1107VL,Slikkerveerstraat 78,POINT (126829.60217429744 478369.5401804329),False,29,4.974288194041749,52.2925903744269
1915,363300000004669.0,824,695,436,Oost,1094ZD,Riouwstraat 280,POINT (124444.84279931756 486095.6257606084),False,49,4.9386331754948625,52.36190074367682
1267,363300000003739.0,823,673,391,West,1055HH,Granidastraat 39,POINT (118278.88215855102 488340.97337191936),False,75,4.847870766861526,52.38170264391404
2429,363300000005378.0,823,629,219,Noord,postcode niet in CMS,Bramzeil 105,POINT (123269.7100670921 491294.4743629799),False,10,4.920890830972849,52.408557723720826
530,363300000002599.0,822,684,343,Oost,1093VE,Tweede van Swindenstraat 13,POINT (123555.55459657 486074.8425796184),False,49,4.92558014564605,52.3616637737529
573,363300000002664.0,821,733,503,Noord,1032HL,Kamperfoelieweg 145,POINT (122680.59254722648 490141.6628320437),False,66,4.912344372026312,52.39816272099521
1065,363300000003420.0,821,670,375,Nieuw-West,1068HV,Nieuwe Osdorpergracht 400H,POINT (115290.31171389717 485676.86451691214),False,129,4.804293592360584,52.3575517515918
1351,363300000003852.0,820,668,421,Nieuw-West,1063VD,Nico Snijdersstraat 10,POINT (117166.58944338633 488348.8450330142),False,42,4.831534044117967,52.38169786060488
69,363300000001102.0,819,689,392,Zuidoost,1103ME,Bertha von Suttnerstraat 42,POINT (126245.09801536266 481665.9866203473),False,76,4.965439821145346,52.32218690140536
1583,363300000004184.0,818,655,267,Centrumlocaties,Nederland,Goudsbloemstraat 103,POINT (120507.14781084059 488094.98893581826),True,195,4.880621932075218,52.37963644121921
2359,363300000005283.0,818,638,311,West,1056SH,Jan Maijenstraat 2,POINT (118635.88005489185 487177.66682976985),False,59,4.853239766642926,52.37127149402519
2305,363300000005215.0,816,649,350,West,1057PK,Van Kinsbergenstraat 25,POINT (119188.85447381836 486902.511607922),False,111,4.861388532108328,52.36883494135159
2015,363300000004798.0,813,667,189,Centrum,1015HM,Palmgracht 4,POINT (120782.84012023755 488388.05245234375),False,194,4.884640914142513,52.38228753237734
2671,363300000005783.0,813,448,258,Zuidoost,1107XC,Wethouder Insingerstraat 53,POINT (127519.95639551774 478359.5422397485),False,16,4.984407833919804,52.292535414371734
2312,363300000005224.0,813,604,248,Nieuw-West,1064KC,Van Moerkerkenstraat 63,POINT (116130.18831007242 487967.2086676231),False,25,4.81635698763122,52.378195620238984
2337,363300000005252.0,811,640,158,Zuid,1075BG,Valeriusplein 7,POINT (119364.19388578652 485113.4260278376),False,98,4.864152516239379,52.3527673342153
2610,363300000005679.0,809,455,92,Zuidoost,1102RZ,Brentanostraat 86,POINT (124883.89767716281 481119.30107300694),False,8,4.9455237347484475,52.3172007442488
2861,363300011951316.0,809,508,189,Oost,1096GM,Bella Vistastraat 328,POINT (122899.66850264798 483534.7514352784),False,32,4.9161939454169445,52.33879713411657
2127,363300000004962.0,808,688,429,Zuid,1074HE,Smaragdstraat 135,POINT (122385.25760919502 484924.3278818496),False,45,4.908511565693055,52.35125547398959
1115,363300000003507.0,805,613,323,Nieuw-West,1063TK,Johannes Poststraat 25,POINT (117342.98340071927 488183.3111511531),False,31,4.834143232353197,52.380222301344176
2420,363300000005364.0,800,605,370,Noord,1034TM,Midscheeps 114,POINT (123061.98929556945 491771.98248127854),False,48,4.917792766506261,52.412837153101144
609,363300000002722.0,799,463,91,Centrum,1011SR,Anne Frankstraat 2,POINT (122445.68100521268 486969.0257188622),False,79,4.909200465551759,52.36963543274575
1620,363300000004232.0,798,585,202,West,1056JB,Maarten Harpertszoon Trompstraat 26,POINT (119202.82084214434 487257.2295461429),False,112,4.861555816556352,52.372023793968786
2506,363300000005490.0,797,523,304,Zuidoost,1106MA,Wisseloord 101,POINT (127704.62618714407 478804.26089572906),False,36,4.987078650826726,52.2965415215349
1832,363300000004554.0,796,520,168,Nieuw-West,1059VM,Poeldijkstraat 14,POINT (117984.14029418232 484720.34649063036),False,136,4.843940600881218,52.34914338104551
2006,363300000004787.0,794,571,203,Zuid,1071BN,Pieter Cornelisz. Hooftstraat 45,POINT (120586.34638099032 485972.2264994426),False,56,4.8820023661448,52.36056354401044
982,363300000003302.0,793,663,377,Nieuw-West,1069KW,Pieter Calandlaan 246D,POINT (114677.46630325427 485000.01686130237),False,47,4.795379032367714,52.35142414166093
2604,363300000005673.0,793,566,319,Zuidoost,1102WL,Anatole Francesingel 74,POINT (124757.85937125309 481768.2337897851),False,28,4.943617091281799,52.3230260714596
1635,363300000004255.0,791,590,323,Zuid,1076TK,Marathonweg 40,POINT (119258.49274067089 484543.340607129),False,54,4.862661681943865,52.347636941502934
652,363300000002789.0,789,127,26,Centrum,Nederland,Dwars Spinhuissteeg 2B,POINT (121644.73837008027 487074.6825331877),True,4,4.897429931908176,52.370536941239024
1040,363300000003388.0,789,566,275,Noord,1031TP,Jac. P. Thijsseplein 8,POINT (122546.86056375735 489040.734078373),False,15,4.910485963926333,52.38826048214573
2102,363300000004921.0,783,528,134,Noord,1031BX,Wingerdweg 23,POINT (122809.00813902853 489147.89934328484),False,18,4.9143263661919265,52.38923904344079
513,363300000002581.0,783,667,345,Zuid,1073LN,Van Woustraat 54,POINT (121810.63576871212 485455.11428905366),False,81,4.900025661784748,52.3559914213383
2101,363300000004919.0,780,582,318,West,1055KD,Hofwijckstraat 41,POINT (118429.19299194583 488348.6659644146),False,36,4.850077494542266,52.381781812577046
1791,363300000004495.0,780,577,354,Oost,1091GB,Schollenbrugstraat 32,POINT (122768.33215948174 484843.987770651),False,55,4.9141415333215335,52.35055603267794
2508,363300000005492.0,779,526,268,Zuidoost,1105AX,Meibergdreef 10,POINT (125627.18807666269 478871.11222125974),False,74,4.9566202710128096,52.297035401615275
1091,363300000003463.0,776,652,373,Zuid,1076LB,Jasonstraat 30,POINT (119102.01175475886 484094.664429097),False,36,4.860413113854589,52.34359435307745
2202,363300000005057.0,775,645,287,Nieuw-West,postcode niet in CMS,Strackéstraat 39,POINT (114985.55672407022 488022.1263048718),False,27,4.799541067381444,52.378606944224266
1385,363300000003891.0,774,649,264,Centrum,1015NA,Noordermarkt 46C,POINT (120958.47997438427 488100.8850965292),False,265,4.887249622036702,52.37971760120017
2863,363300011951401.0,774,705,560,Noord,1025WK,J.H. Hisgenpad 2,POINT (123612.15424741071 490418.7850990725),False,100,4.926005201964614,52.40070737093831
1553,363300000004143.0,773,656,271,Nieuw-West,1067LA,Leenhofstraat 79,POINT (114909.0678098122 487946.86121756356),False,21,4.798426767384319,52.37792494423963
48,363300000001019.0,773,566,229,Oost,1087DP,Cas Oorthuyskade 208,POINT (127981.6903211441 485944.7746174402),False,44,4.990567421281532,52.36073032105122
1418,363300000003936.0,771,651,325,Oost,1097DN,Julianaplein 2,POINT (123085.73505671206 484237.20612597826),False,73,4.918857431592498,52.345121191365806
2287,363300000005191.0,771,657,356,Zuid,1073AR,Rustenburgerstraat 302,POINT (121466.50780114996 485008.6877721018),False,150,4.895018965863093,52.351958344055
1550,363300000004138.0,769,691,463,Noord,1031EL,Bremstraat 45,POINT (122478.7570809357 489257.20558693656),False,49,4.909464631983727,52.390201941061505
2078,363300000004883.0,769,584,265,Nieuw-West,1068BH,Wildeman 27,POINT (114860.80058790417 486321.6043197796),False,20,4.797912032440538,52.36331494156743
341,363300000002092.0,764,506,179,Noord,1036KD,Moestuinlaan 2,POINT (121884.97221385094 491261.2007318843),False,27,4.900544466639221,52.40817684326131
68,363300000001098.0,762,646,432,Zuidoost,1103MA,Isabella Richaardsstraat 78,POINT (126136.57311002955 481680.1681884639),False,74,4.963846852311531,52.322308672817755
569,363300000002658.0,762,600,237,West,1053AR,Bellamyplein 16,POINT (119585.94160952634 486856.0228960491),False,63,4.867223636436293,52.36844288398579
2239,363300000005120.0,759,635,325,Oost,1091BG,Tilanusstraat 81H,POINT (122752.05303509648 485787.98686825857),False,61,4.9138121257462375,52.35903912385424
2579,363300000005622.0,758,589,238,Noord,1025VV,Slufter 17,POINT (124771.54799797625 490226.05454641604),False,23,4.943057681851103,52.39904034090267
2294,363300000005203.0,758,629,287,West,1055PG,Van Gentstraat 24,POINT (118541.82161341025 488566.15661488875),False,57,4.851708032276143,52.38374394126972
1807,363300000004515.0,757,634,359,Nieuw-West,1063GG,Victor Rutgersstraat 1,POINT (116698.30538101209 488389.2194567195),False,62,4.8246519324223325,52.38202824135735
302,363300000001704.0,757,581,354,Oost,1019EL,J.M. van der Meylaan 25,POINT (124915.50551873344 486786.49730314815),False,67,4.9454808232108185,52.36813583224541
1459,363300000004003.0,757,653,275,Centrum,1013HN,Kleine Houtstraat 3,POINT (120777.7818785462 488648.73547819233),False,196,4.884540066474112,52.38463004366996
1421,363300000003942.0,756,536,106,Centrum,1018AC,Kadijksplein 10,POINT (122667.4503966442 487075.3430594855),False,68,4.912446431819798,52.37060404119667
1378,363300000003881.0,754,588,194,Noord,1032BP,Nigellestraat 58,POINT (122909.12921186707 489940.9920411069),False,15,4.915721271992933,52.39637265099884
1363,363300000003864.0,752,646,305,Zuid,1078VH,Niersstraat 15,POINT (121464.08168469269 484042.2487525763),False,72,4.895079661719858,52.34327248144522
1542,363300000004128.0,751,640,335,Nieuw-West,1066EW,Langsom 2,POINT (114610.94723717842 483908.87461815187),False,52,4.794533712300521,52.34161292173464
2300,363300000005210.0,751,572,290,Zuid,1072JZ,Van Hilligaertstraat 6C,POINT (120923.22400806675 484758.43660542765),False,71,4.887070591814653,52.34967583142051
2385,363300000005316.0,750,600,335,Oost,1093DE,Von Zesenstraat 263,POINT (123632.37766016884 486388.31739270914),False,47,4.926678681066073,52.36448547185931
1684,363300000004323.0,747,506,132,Noord,1033HC,Noorderkroonstraat 12,POINT (120429.2086916198 492110.10615580826),False,18,4.87906379364262,52.4157163187849
1760,363300000004441.0,745,640,278,Zuid,1071TW,Pieter Baststraat 2,POINT (120724.99530363157 485252.40802063904),False,70,4.884111041864936,52.35410298139625
533,363300000002603.0,744,413,114,Centrum,1018LP,Tweede Wittenburgerdwarsstraat 133,POINT (123339.29075760301 487168.9145211077),False,18,4.9223023317679555,52.37148414116278
2153,363300000004995.0,744,671,512,Noord,1021JS,Spijkerkade 2,POINT (123275.99654095036 488613.5014453204),False,195,4.921236571871158,52.38446344107064
981,363300000003301.0,744,641,426,Noord,1031VS,Lavendelstraat 14,POINT (122346.08900936219 489323.6413963923),False,29,4.907509331999694,52.3907911410627
1617,363300000004226.0,743,614,281,Noord,1031VK,Lupineplein 11,POINT (122403.66826558475 489242.5353191647),False,12,4.908363031989218,52.3900656410656
1631,363300000004247.0,743,566,291,Oost,1095ST,Makassarstraat 278,POINT (124661.96325118716 486341.6786903349),False,91,4.941798365490553,52.364124143628835
916,363300000003193.0,741,597,174,Zuid,1072VZ,Ruysdaelkade 75,POINT (120932.9540176598 485500.5581111578),False,38,4.887138247215222,52.35634611822841
1796,363300000004500.0,741,637,405,Nieuw-West,1064VZ,Schopenhauerhof 30,POINT (115993.39283035707 487660.1408245807),False,33,4.814383732433576,52.37542624143385
576,363300000002670.0,739,634,307,Zuid,1058SE,Albert Neuhuysstraat 34,POINT (118404.77503086475 485424.90007513686),False,63,4.850037156446177,52.35550357425645
1391,363300000003900.0,737,463,103,Centrum,1018XW,Nieuwe Achtergracht 31,POINT (122276.24918538218 486170.8933310268),False,81,4.9067904158801845,52.36245229384687
1860,363300000004590.0,735,439,51,Centrum,1018GX,Prof. Tulpplein 2,POINT (122187.0315280658 485945.4503082268),False,97,4.90550266163121,52.360420842004416
1099,363300000003475.0,735,270,60,Noord,1024BA,Jisperveldstraat 524,POINT (125420.63831815528 490373.98654260364),False,39,4.952581465262285,52.400405222887294
683,363300000002835.0,734,637,405,Nieuw-West,1069DL,Emmikhovenstraat 134,POINT (114611.68006659136 485675.3142708075),True,37,4.794332443742594,52.35748834588668
2616,363300000005685.0,730,389,118,Zuidoost,1102XK,Dostojevskisingel 101,POINT (124984.63361214551 481831.38600245054),False,22,4.94693766126628,52.32360607144616
1469,363300000004015.0,727,601,469,Noord,1034XK,Klipperstraat 142,POINT (122729.83894771367 490825.42663836054),False,35,4.913002166026711,52.40431078221669
1744,363300000004422.0,725,653,377,Nieuw-West,1064XJ,Rousseaustraat 36,POINT (115688.47972796563 487634.89251035755),False,38,4.8099091872092075,52.37517758421297
861,363300000003101.0,725,610,411,Oost,1091MG,Christiaan de Wetstraat 240,POINT (123018.29418595949 485117.9799496856),False,57,4.917784053315055,52.35303310262138
692,363300000002847.0,725,547,214,West,1056AN,Fridtjof Nansenhof 1,POINT (118030.62419219938 487360.76653299073),False,19,4.844332532238759,52.37287664136944
944,363300000003241.0,725,554,310,Noord,1024GK,Den Burgstraat 42,POINT (125967.42192534522 489613.8124535516),False,30,4.960681131705687,52.393602500893145
2231,363300000005105.0,723,556,276,Zuid,1058VA,Theophile de Bockstraat 71,POINT (118238.50844922652 485358.1979589824),False,50,4.847603986465739,52.35489300427813
1225,363300000003679.0,723,578,363,Noord,1021CN,Ganzenweg 11,POINT (123082.86240843935 488780.225131047),False,66,4.9183840318991665,52.385950641067716
1826,363300000004543.0,723,624,313,Oost,1091KV,Platanenweg 38,POINT (122834.25502449542 485255.48128884734),False,45,4.9150697102270104,52.354258132317284
1172,363300000003589.0,722,581,257,Nieuw-West,1069TP,Groezestraat 30,POINT (113731.05222874833 485766.8885779422),False,22,4.781394902499886,52.35824589164982
1801,363300000004508.0,722,636,404,Oost,1095EZ,Semarangstraat 7,POINT (124802.80023028457 486073.06800370343),False,57,4.943890115021962,52.3617178026681
1709,363300000004372.0,722,543,236,Nieuw-West,1060TT,Pieter Calandlaan 400,POINT (114211.43791496094 484849.26896245644),False,38,4.788557632397478,52.35003494168979
2087,363300000004895.0,720,590,332,Nieuw-West,1069KA,Willem Heselaarsstraat 58,POINT (114880.9082358653 485062.818374397),False,39,4.7983573670008814,52.352003444589464
356,363300000002161.0,719,443,195,Centrum,1018LB,Van Reedestraat 167,POINT (123930.1822991457 487288.87943390553),False,77,4.930967555745661,52.37259605357395
1977,363300000004751.0,718,509,241,Nieuw-West,1068EV,Osdorpplein 356,POINT (115228.02733353779 485902.77399318473),False,36,4.80335263238105,52.35957754157962
877,363300000003132.0,714,523,277,Oost,1098JE,Copernicusstraat 59,POINT (124413.46037179165 485389.59185668285),False,29,4.938236675404818,52.35555361376552
1338,363300000003835.0,712,582,358,Noord,1021GE,Nachtegaalstraat 106,POINT (122794.08031050494 488691.60405966564),False,59,4.914150841918141,52.385137311085465
1714,363300000004377.0,712,543,168,Zuid,postcode niet in CMS,Pieter Lastmankade 41,POINT (119163.09653831625 484799.5717439089),False,12,4.861234416231722,52.349933554269896
35,363300000001004.0,712,591,111,Oost,1087GZ,Diemerparklaan 84,POINT (128401.04448062452 485441.52404304256),False,27,4.996763321210908,52.356227861067126
747,363300000002934.0,711,385,329,Zuidoost,1102MG,Bijlmerplein 909,POINT (125329.13459350422 480627.408884041),False,38,4.952096654272787,52.31280408247557
1720,363300000004384.0,710,590,279,Nieuw-West,1067EM,Pieter van der Werfstraat 105,POINT (115198.78430117705 488414.6067552953),False,55,4.802625932552327,52.382149731417535
1290,363300000003769.0,709,486,126,West,1055EK,Gulden Winckelplantsoen 7,POINT (118214.28450380694 488006.8014547285),False,80,4.846958632266524,52.3786950413197
2645,363300000005739.0,708,589,362,Noord,1033PV,Nageljongenstraat 193,POINT (121721.52627816744 490961.6567732033),False,43,4.898172252164824,52.405474880981444
2056,363300000004858.0,706,520,260,Zuid,1059TL,Westlandgracht 199,POINT (118123.16461591708 484776.1816210829),False,53,4.8459747864072495,52.349654534358145
931,363300000003221.0,704,541,342,West,1061CS,De Leeuw van Vlaanderenstraat 34,POINT (117939.47968293684 487845.3827118806),False,39,4.842940746852615,52.37722585400193
1589,363300000004191.0,703,551,351,West,1055ZW,Livornostraat 31,POINT (118659.7628403145 488651.7471403661),False,33,4.853431016432201,52.38452098283936
906,363300000003175.0,702,543,263,Oost,1098RT,Curiestraat 4,POINT (124576.34454349324 484773.0610817942),False,55,4.940683264885645,52.350021662857905
546,363300000002623.0,702,566,203,Nieuw-West,1067GL,Aalbersestraat 214,POINT (114896.62958799297 488087.97322955535),False,21,4.798227265112294,52.379192232902376
246,363300000001546.0,702,426,172,Centrum,1018KP,Admiraliteitstraat 41,POINT (123462.13728074775 486829.4802608183),False,22,4.92413798346878,52.36844060235998
1239,363300000003700.0,699,617,298,Zuid,1073XG,Gerard Douplein 18,POINT (121340.1217273155 485458.8456327568),False,80,4.893118971825677,52.35599633135744
1502,363300000004065.0,699,332,102,Centrum,Nederland,Dijkstraat 49,POINT (121930.60266981393 487135.47049503715),True,65,4.901621315442641,52.37110054913833
2630,363300000005716.0,698,402,158,Zuidoost,1107TW,Sleewijkstraat 72,POINT (126754.52078947684 478084.2842256575),False,15,4.973211564016808,52.290022784468086
2135,363300000004970.0,697,588,398,Oost,1095XE,Soembawastraat 100,POINT (124775.92886827022 486214.4461109155),False,80,4.943482931578907,52.36298694116607
40,363300000001009.0,697,557,248,Oost,1087DE,Talbotstraat 69,POINT (128274.31796493218 485616.8368090427),False,71,4.99488924123382,52.35779732106081
1471,363300000004018.0,696,605,364,Noord,postcode niet in CMS,Wielewaalstraat 7,POINT (123301.68111920301 488851.4282083815),False,42,4.92159136606654,52.386603243436014
463,363300000002522.0,695,549,329,Zuid,1075LJ,Bernard Kochstraat 11,POINT (118992.73840831967 484743.92393660086),False,45,4.858740166253524,52.34942229429063
1574,363300000004170.0,695,427,79,Centrumlocaties,Nederland,Weterimgschans ,POINT (120681.99583028008 486432.21050595876),True,51,4.883359531947997,52.364703541320836
651,363300000002788.0,695,577,327,Zuid,1072HM,Dusartstraat 13A,POINT (121075.92400470571 485057.05287645815),False,60,4.889281531821505,52.35236904139462
2723,363300000005893.0,695,452,223,Noord,1033SC,"Werfstraat 354,",POINT (121037.40660144752 490707.66081465967),False,23,4.888145080222344,52.403150237282
1802,363300000004509.0,694,601,365,Nieuw-West,1064ZL,Senecastraat 32,POINT (115918.0808503434 487461.89851529204),False,30,4.813300867146644,52.37363924421495
1500,363300000004063.0,694,527,295,Zuid,1079WZ,Zomerdijkstraat 17,POINT (122065.68968644502 483935.47440303734),False,67,4.903918131660636,52.34234924142755
1613,363300000004222.0,690,644,323,Nieuw-West,1066EA,Louwesweg 3,POINT (116713.97733241785 484417.27213671844),False,122,4.825334366600713,52.34633254451719
2571,363300000005607.0,690,617,513,Zuidoost,1102CX,Foppingadreef 26,POINT (125400.05013883972 480149.7392568917),False,332,4.9531784945288315,52.30851486432526
1609,363300000004215.0,689,551,247,Nieuw-West,1064CE,Louis Couperusstraat 129,POINT (116719.69122675963 487712.150731722),False,25,4.825043162374877,52.375944781400555
1183,363300000003604.0,688,543,293,West,1013TL,Knollendamstraat 11,POINT (120318.46121368307 489295.35447389894),False,27,4.8777269321726555,52.39041254114861
1118,363300000003512.0,688,546,261,Zuid,1071DV,Johannes Vermeerplein 1,POINT (120710.28062596751 485432.53425001836),False,59,4.883876706050642,52.355720914065756
601,363300000002706.0,688,508,183,Centrum,1017JD,Amstelveld 31,POINT (121567.9023318118 486111.0249210407),False,193,4.896397565587509,52.36187158293089
2129,363300000004964.0,687,532,142,Noord,1032HT,Kamperfoelieweg 154,POINT (122813.27407290366 489983.44138995826),False,9,4.914308932004102,52.39674854100009
1682,363300000004319.0,686,590,330,Zuid,1073HK,Mesdagstraat 41,POINT (121532.97172519012 484686.6317857571),False,39,4.896026481757128,52.34906797140015
2325,363300000005240.0,685,470,199,West,1057HH,Van Speijkstraat 116,POINT (119112.43432976796 487012.87796101195),False,37,4.860254716538844,52.369821844005806
2233,363300000005107.0,684,550,254,Zuid,1073JK,Thérèse Schwartzeplein 1B,POINT (121644.91996860685 484728.16950154863),False,8,4.897665311750235,52.34944809139275
1546,363300000004134.0,684,550,256,Noord,1032CT,Berberisstraat 30,POINT (122825.41626292697 489545.7769836229),False,21,4.914529266243249,52.3928158433911
1359,363300000003860.0,682,546,306,Nieuw-West,1067NH,Nicolaas Ruychaverstraat 37,POINT (115189.43056239687 487824.909235251),False,41,4.802558432513428,52.376849341456236
870,363300000003121.0,679,539,297,West,1057TV,Columbusplein 37,POINT (118800.23109080282 486486.15311269445),False,63,4.855727432113747,52.36506754139478
1031,363300000003374.0,677,509,230,Nieuw-West,1065AZ,Bakhuizen van den Brinkhof 25,POINT (116633.7920403483 486185.19908098807),False,32,4.823956032279585,52.36221574150355
1453,363300000003997.0,676,559,274,Noord,1021VD,Kievitstraat 31,POINT (123286.1678275574 489001.13785841776),False,51,4.921349363793098,52.38794783208958
1134,363300000003534.0,672,519,151,Centrum,1013EC,Herenmarkt 15,POINT (121277.0453054633 488100.2310438922),False,126,4.89192816590687,52.379731382694395
2515,363300000005507.0,672,531,245,Noord,1035AE,Paltrok 1,POINT (120971.95151288569 492611.8051956119),False,59,4.886990122341767,52.420259130904896
2430,363300000005380.0,671,503,265,Noord,1034KZ,Spinaker 1 parkeerterrein,POINT (123484.94674241549 491362.91806408943),False,31,4.924047455969635,52.40918525208315
2467,363300000005432.0,671,360,114,Zuidoost,1106AT,Reewijkplein 6,POINT (126890.14696774445 478782.84386896394),False,29,4.9751412008965845,52.296308041569574
1837,363300000004566.0,669,469,185,Oost,1091KM,Populierenweg 33,POINT (123075.47273846046 485419.21287156007),False,32,4.9185946956405004,52.35574371387239
